opcode,symbol,reader,family,builder_affordance,raw_compose_mapping,mapping_fidelity,proposed_stage,status,source
228,MODIFIER_MARQUEE,MarqueeModifierOperation,Scroll and effects,Scroll; marquee; touch indication,horizontalScroll/verticalScroll; basicMarquee; indication/ripple,Equivalent; gesture/physics policy,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
229,MODIFIER_RIPPLE,RippleModifierOperation,Scroll and effects,Scroll; marquee; touch indication,horizontalScroll/verticalScroll; basicMarquee; indication/ripple,Equivalent; gesture/physics policy,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
230,LAYOUT_COLLAPSIBLE_ROW,CollapsibleRowLayout,Adaptive layout,Fit content; overflow priority; wrapping row/column,BoxWithConstraints or custom Layout/SubcomposeLayout; FlowRow/FlowColumn,Equivalent with sizing/overflow policy; not LazyRow,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
231,MODIFIER_WIDTH_IN,WidthInModifierOperation,Dimensions,Width/height/min/max/fill/wrap/weight,Modifier width/height/size/sizeIn/requiredSizeIn; parent weight,Direct with unit/constraint semantics,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
232,MODIFIER_HEIGHT_IN,HeightInModifierOperation,Dimensions,Width/height/min/max/fill/wrap/weight,Modifier width/height/size/sizeIn/requiredSizeIn; parent weight,Direct with unit/constraint semantics,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
233,LAYOUT_COLLAPSIBLE_COLUMN,CollapsibleColumnLayout,Adaptive layout,Fit content; overflow priority; wrapping row/column,BoxWithConstraints or custom Layout/SubcomposeLayout; FlowRow/FlowColumn,Equivalent with sizing/overflow policy; not LazyRow,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
234,LAYOUT_IMAGE,ImageLayout,Images and fonts,Image/font resources; image node; bitmap font advanced,ImageBitmap; String; FontFamily; Image; custom bitmap-font renderer,Direct resources; bitmap fonts need helper,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
235,MODIFIER_COLLAPSIBLE_PRIORITY,CollapsiblePriorityModifierOperation,Adaptive layout,Fit content; overflow priority; wrapping row/column,BoxWithConstraints or custom Layout/SubcomposeLayout; FlowRow/FlowColumn,Equivalent with sizing/overflow policy; not LazyRow,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
236,RUN_ACTION,RunActionOperation,State actions,Set/toggle/increment; ordered action sequence; invoke action,State assignment; callback; execute actions in order,Direct semantic sequence; no implicit transaction promise,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
237,MODIFIER_ALIGN_BY,AlignByModifierOperation,Position and transform,Spacing; position; order; transform; baseline alignment,padding/offset/zIndex/graphicsLayer/alignBy,Direct subject to parent scope and transform units,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
238,LAYOUT_COMPUTE,LayoutComputeOperation,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
239,CORE_TEXT,CoreText,Text layout,Text; typography; rich text; transform,Text/BasicText; TextStyle/AnnotatedString; explicit string transformation,Equivalent; shaping/autosize/overflow differences tested,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
240,LAYOUT_FLOW,FlowLayout,Adaptive layout,Fit content; overflow priority; wrapping row/column,BoxWithConstraints or custom Layout/SubcomposeLayout; FlowRow/FlowColumn,Equivalent with sizing/overflow policy; not LazyRow,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
241,SKIP,Skip,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
242,TEXT_STYLE,TextStyle,Text layout,Text; typography; rich text; transform,Text/BasicText; TextStyle/AnnotatedString; explicit string transformation,Equivalent; shaping/autosize/overflow differences tested,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
243,MODIFIER_DIMENSION_CONSTRAINTS,DimensionConstraintsModifierOperation,Dimensions,Width/height/min/max/fill/wrap/weight,Modifier width/height/size/sizeIn/requiredSizeIn; parent weight,Direct with unit/constraint semantics,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
244,MACRO_FOR_EACH,PatternForEach,Reusable components and styles,Component definitions/instances; typed arguments; content slots; shared styles,Composable functions/calls/content lambdas; forEach/items; Modifier factories,Semantic reuse via expansion initially; native patterns need conformance,First slice reuse; native macro later,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
245,INCLUDE_REFERENCED_OPERATIONS,IncludeReferencedOperations,Reusable components and styles,Component definitions/instances; typed arguments; content slots; shared styles,Composable functions/calls/content lambdas; forEach/items; Modifier factories,Semantic reuse via expansion initially; native patterns need conformance,First slice reuse; native macro later,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
246,MACRO_DEFINE,PatternDefine,Reusable components and styles,Component definitions/instances; typed arguments; content slots; shared styles,Composable functions/calls/content lambdas; forEach/items; Modifier factories,Semantic reuse via expansion initially; native patterns need conformance,First slice reuse; native macro later,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
247,MACRO_CALL,PatternInflation,Reusable components and styles,Component definitions/instances; typed arguments; content slots; shared styles,Composable functions/calls/content lambdas; forEach/items; Modifier factories,Semantic reuse via expansion initially; native patterns need conformance,First slice reuse; native macro later,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
248,MACRO_ARGUMENT,PatternArgument,Reusable components and styles,Component definitions/instances; typed arguments; content slots; shared styles,Composable functions/calls/content lambdas; forEach/items; Modifier factories,Semantic reuse via expansion initially; native patterns need conformance,First slice reuse; native macro later,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
249,MACRO_BLOCK,PatternBlock,Reusable components and styles,Component definitions/instances; typed arguments; content slots; shared styles,Composable functions/calls/content lambdas; forEach/items; Modifier factories,Semantic reuse via expansion initially; native patterns need conformance,First slice reuse; native macro later,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
250,ACCESSIBILITY_SEMANTICS,CoreSemantics,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
251,EXTENSION_RANGE_RESERVED_4,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
252,EXTENSION_RANGE_RESERVED_3,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
253,EXTENSION_RANGE_RESERVED_2,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
254,EXTENSION_RANGE_RESERVED_1,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
255,EXTENDED_OPCODE,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
